,Ticker,Average Volume,Competitors,Symbol,Security,Headquarters,Industry,Date added
385,PLD,3114707,"['AMT', 'EQIX', 'CCI', 'PSA']",PLD,Prologis,"San Francisco, California",Industrial REITs,2003-07-17
386,PRU,1857482,['GL'],PRU,Prudential Financial,"Newark, New Jersey",Life & Health Insurance,2002-07-22
387,PEG,2710156,"['ED', 'XEL', 'PCG', 'EXC']",PEG,Public Service Enterprise Group,"Newark, New Jersey",Electric Utilities,1957-03-04
388,PTC,739503,"['SSNC', 'MDB', 'AZPN']",PTC,PTC,"Boston, Massachusetts",Application Software,2021-04-20
389,PSA,976717,"['CCI', 'O', 'EQIX']",PSA,Public Storage,"Glendale, California",Specialized REITs,2005-08-19
390,PHM,2409599,"['TOL', 'MTH', 'TMHC', 'KBH']",PHM,PulteGroup,"Atlanta, Georgia",Homebuilding,1984-04-30
391,QRVO,1319152,"['WOLF', 'LSCC']",QRVO,Qorvo,"Greensboro, North Carolina",Semiconductors,2015-06-11
392,PWR,927861,"['EME', 'AMRC', 'IESC', 'ISUN']",PWR,Quanta Services,"Houston, Texas",Construction & Engineering,2009-07-01
393,QCOM,7921752,"['MSI', 'NOK', 'ERIC']",QCOM,Qualcomm,"San Diego, California",Semiconductors,1999-07-22
394,DGX,1126844,"['LH', 'NTRA', 'GH']",DGX,Quest Diagnostics,"Secaucus, New Jersey",Health Care Services,2002-12-12
395,RL,954237,['IFAN'],RL,Ralph Lauren Corporation,"New York City, New York","Apparel, Accessories & Luxury Goods",2007-02-02
396,RJF,1392690,"['LPLA', 'IBKR']",RJF,Raymond James,"St. Petersburg, Florida",Investment Banking & Brokerage,2017-03-20
397,RTX,4520401,"['NWL', 'HI', 'BRC', 'NL']",RTX,Raytheon Technologies,"Waltham, Massachusetts",Aerospace & Defense,1957-03-04
398,O,3763802,"['SPG', 'WELL', 'PSA']",O,Realty Income,"San Diego, California",Retail REITs,2015-04-07
399,REG,921809,"['LAMR', 'CUBE', 'AMH', 'BXP']",REG,Regency Centers,"Jacksonville, Florida",Retail REITs,2017-03-02
400,REGN,631665,"['ZTS', 'VRTX', 'GLAXF']",REGN,Regeneron,"Tarrytown, New York",Biotechnology,2013-05-01
401,RF,8532803,"['HBAN', 'BSBR', 'WF']",RF,Regions Financial Corporation,"Birmingham, Alabama",Regional Banks,1998-08-28
402,RSG,1445430,"['WM', 'CLH', 'SRCL', 'CWST']",RSG,Republic Services,"Phoenix, Arizona",Environmental & Facilities Services,2008-12-05
403,RMD,592339,"['MASI', 'NVCR', 'IRTC']",RMD,ResMed,"San Diego, California",Health Care Equipment,2017-07-26
404,RHI,894459,"['NSP', 'KFRC', 'TBI']",RHI,Robert Half,"Menlo Park, California",Human Resource & Employment Services,2000-12-05
405,ROK,695023,['HUBB'],ROK,Rockwell Automation,"Milwaukee, Wisconsin",Electrical Components & Equipment,
406,ROL,1504534,['RTO'],ROL,"Rollins, Inc.","Atlanta, Georgia",Environmental & Facilities Services,2018-10-01
407,ROP,479655,"['EMR', 'FTV', 'CGNX', 'ST']",ROP,Roper Technologies,"Sarasota, Florida",Electronic Equipment & Instruments,2009-12-23
408,ROST,2531731,"['BURL', 'GPS', 'JWN', 'AEO']",ROST,Ross Stores,"Dublin, California",Apparel Retail,2009-12-21
409,RCL,3926487,"['CCL', 'NCLH', 'CUK']",RCL,Royal Caribbean Group,"Miami, Florida","Hotels, Resorts & Cruise Lines",2014-12-05
410,SPGI,1569621,"['MCO', 'EFX']",SPGI,S&P Global,"New York City, New York",Financial Exchanges & Data,1957-03-04
411,CRM,9853111,"['ADBE', 'SAP', 'INTU', 'ORCL']",CRM,Salesforce,"San Francisco, California",Application Software,2008-09-15
412,SBAC,769050,"['ARE', 'DLR', 'AVB', 'EQR']",SBAC,SBA Communications,"Boca Raton, Florida",Specialized REITs,2017-09-01
413,SLB,10350621,"['HAL', 'BKR', 'WFRD', 'LBRT']",SLB,Schlumberger,"Curaçao, Kingdom of the Netherlands",Oil & Gas Equipment & Services,1957-03-04
414,STX,2459025,"['NTAP', 'WDC', 'PSTG', 'QMCO']",STX,Seagate Technology,"Dublin, Ireland","Technology Hardware, Storage & Peripherals",2012-07-02
415,SEE,1118591,"['GPK', 'NTIC']",SEE,Sealed Air,"Charlotte, North Carolina",Paper Packaging,1957-03-04
416,SRE,1229937,[],SRE,Sempra Energy,"San Diego, California",Multi-Utilities,2001?
417,NOW,1550957,"['UBER', 'INTU', 'ATVI', 'PANW']",NOW,ServiceNow,"Santa Clara, California",Systems Software,2019-11-21
418,SHW,1529264,"['PPG', 'RPM', 'AXTA']",SHW,Sherwin-Williams,"Cleveland, Ohio",Specialty Chemicals,1964-06-30
419,SPG,1622237,"['O', 'WELL', 'DLR']",SPG,Simon Property Group,"Indianapolis, Indiana",Retail REITs,2002-06-26
420,SWKS,2058697,"['FSLR', 'UMC', 'ASX']",SWKS,Skyworks Solutions,"Irvine, California",Semiconductors,2015-03-12
421,SJM,892519,"['SENEA', 'SENEB']",SJM,J.M. Smucker Company (The),"Orrville, Ohio",Packaged Foods & Meats,2008-11-06
422,SNA,287711,['MLHC'],SNA,Snap-on,"Kenosha, Wisconsin",Industrial Machinery,1982-09-30
423,SEDG,1103577,"['ZWS', 'AIMC', 'EVTV']",SEDG,SolarEdge,"Herzliya, Israel",Semiconductor Equipment,2021-12-20
424,SO,4444362,"['D', 'NGG', 'AEP', 'WEC']",SO,Southern Company,"Atlanta, Georgia",Electric Utilities,1957-03-04
425,LUV,6592735,"['RYAAY', 'UAL', 'DAL', 'AAL']",LUV,Southwest Airlines,"Dallas, Texas",Airlines,1994-07-01
426,SWK,1838705,['PFIN'],SWK,Stanley Black & Decker,"New Britain, Connecticut",Industrial Machinery,1982-09-30
427,SBUX,6553277,"['MCD', 'CMG', 'YUM', 'YUMC']",SBUX,Starbucks,"Seattle, Washington",Restaurants,2000-06-07
428,STT,2925619,"['DFS', 'MTB', 'FITB', 'FRC']",STT,State Street Corporation,"Boston, Massachusetts",Asset Management & Custody Banks,2003-03-14
429,STLD,2211713,"['MT', 'PKX']",STLD,Steel Dynamics,"Fort Wayne, Indiana",Steel,2022-12-22
430,STE,574910,"['SNN', 'INSP', 'GMED']",STE,Steris,"Dublin, Ireland",Health Care Equipment,2019-12-23
